CCLM variable name;CCLM variable name (in model output file);output variable name;to be derived from;Derotate (CORDEX);Level;Conversion factor 1);Cell Method (additional subdaily,CORDEX);Cell Method (subdaily,CORDEX);Cell Method (daily,CORDEX);Cell Method (monthly,CORDEX);Cell Method (seasonal,CORDEX);Levelvalue (height, plev);units;"Additional subdaily frq
[1/day]";"Subdaily frq
[1/day]";ag;"Daily frq
[1/day]";ag;"Monthly frq
[1/mon]";ag;"Seasonal frq
[1/sem]";ag;fx;long_name;comment;standard_name;direction of positive fluxes;"realm
(not required, however, if included should have the value as in CMIP5)";"cell-method: area
(optional)"
CLCM;CLCM;clm;;;ModelLevel;100;;mean;mean;mean;;0;%;;4;i;1;;1;;;;;Mid Level Cloud Fraction;;cloud_area_fraction_in_atmosphere_layer;;atmos;
CLCL;CLCL;cll;;;ModelLevel;100;;mean;mean;mean;;0;%;;4;i;1;;1;;;;;Low Level Cloud Fraction;;cloud_area_fraction_in_atmosphere_layer;;atmos;
Z0;Z0;z0;;;ModelLevel;1;; ;maximum;maximum within days time: mean over days;;0;m;;;i;1;;1;;;;;Surface Roughness Length;;surface_roughness_length;;;
ULON200z;ULON;ua200m;vert. interpolation of model-level output;;ModelLevel;1;;point;mean;mean;;200;m s-1;;24;i;1;;1;;;;;Eastward wind at 200 m;;eastward_wind;;atmos;
VLAT200z;VLAT;va200m;vert. interpolation of model-level output;;ModelLevel;1;;point;mean;mean;;200;m s-1;;24;i;1;;1;;;;;Northward wind at 200 m;;northward_wind;;atmos;
ROOTDP;ROOTDP;rootd;not constant;;ModelLevel;1;;;maximum;;;0;m;;;i;1;;;;;;;Maximum Root Depth;;root_depth;;land;
PVAP_2M;PVAP_2M;pvap;1/(0.622+0.378*QV_2M)*QV_2M*PS;;ModelLevel;1;;point;mean;mean;;0;Pa;;24;i;1;;1;;;;;Water Vapour Partial Pressure in Air;;water_vapour_partial_pressure_in_air;;;
DD_10M;DD_10M;sfcWinddir;(45.0/atan(1.0)*atan2(U_10M,V_10M)+180.0);;ModelLevel;1;;point;mean;mean;;0;degree;;24;i;1;;1;;;;;Wind from Direction;;wind_from_direction;;;
LAI;LAI;lai;;;ModelLevel;1;;;maximum;;;0;1;;;i;1;;;;;;;Leave Area Index;;leave_area_index;;;
PLCOV;PLCOV;plantFrac;;;ModelLevel;1;;;maximum;;;0;%;;;i;1;;;;;;;Percentage Cover by Plant;;percentage_cover_by_plant;;;
CAPE_ML;CAPE_ML;cape;;;ModelLevel;1;;;maximum;;;0;J kg-1;;;a;1;;;;;;;2-D Convective Available Potential Energy;;atmosphere_convective_available_potential_energy_wrt_surface;;atmos;
CIN_ML;CIN_ML;cin;;;ModelLevel;1;;;maximum;;;0;J kg-1;;;a;1;;;;;;;2-D Convective Inhibition;;atmosphere_convective_inhibition_wrt_surface;;atmos;
