CCLM variable name;CCLM variable name (in model output file);output variable name;to be derived from;Derotate (CORDEX);Level;Conversion factor;Cell Method (additional subdaily,CORDEX);Cell Method (subdaily,CORDEX);Cell Method (daily,CORDEX);Cell Method (monthly,CORDEX);Cell Method (seasonal,CORDEX);Levelvalue (height, plev);units;Additional subdaily frq[1/day];"Subdaily frq
[1/day]";ag;"Daily frq
[1/day]";ag;"Monthly frq
[1/mon]";ag;"Seasonal frq
[1/sem]";ag;fx;long_name;comment;standard_name;direction of positive fluxes;"realm
(not required, however, if included should have the value as in CMIP5)";"cell-method: area
(optional)"
QI925p;QI;cli925;;;PressureLevel;1;;point;mean;mean;mean;92500;1;;8;i;1;8;1;m*8;1;s*8;;Mass Fraction of Cloud Ice in Air;;mass_fraction_of_cloud_ice_in_air;;atmos;
QI900p;QI;cli900;;;PressureLevel;1;;point;mean;mean;mean;90000;1;;8;i;1;8;1;m*8;1;s*8;;Mass Fraction of Cloud Ice in Air;;mass_fraction_of_cloud_ice_in_air;;atmos;
QI850p;QI;cli850;;;PressureLevel;1;;point;mean;mean;mean;85000;1;;8;i;1;8;1;m*8;1;s*8;;Mass Fraction of Cloud Ice in Air;;mass_fraction_of_cloud_ice_in_air;;atmos;
QI800p;QI;cli800;;;PressureLevel;1;;point;mean;mean;mean;80000;1;;8;i;1;8;1;m*8;1;s*8;;Mass Fraction of Cloud Ice in Air;;mass_fraction_of_cloud_ice_in_air;;atmos;
QI700p;QI;cli700;;;PressureLevel;1;;point;mean;mean;mean;70000;1;;8;i;1;8;1;m*8;1;s*8;;Mass Fraction of Cloud Ice in Air;;mass_fraction_of_cloud_ice_in_air;;atmos;
QI600p;QI;cli600;;;PressureLevel;1;;point;mean;mean;mean;60000;1;;8;i;1;8;1;m*8;1;s*8;;Mass Fraction of Cloud Ice in Air;;mass_fraction_of_cloud_ice_in_air;;atmos;
QI500p;QI;cli500;;;PressureLevel;1;;point;mean;mean;mean;50000;1;;8;i;1;8;1;m*8;1;s*8;;Mass Fraction of Cloud Ice in Air;;mass_fraction_of_cloud_ice_in_air;;atmos;
QI400p;QI;cli400;;;PressureLevel;1;;point;mean;mean;mean;40000;1;;8;i;1;8;1;m*8;1;s*8;;Mass Fraction of Cloud Ice in Air;;mass_fraction_of_cloud_ice_in_air;;atmos;
QI200p;QI;cli200;;;PressureLevel;1;;point;mean;mean;mean;20000;1;;8;i;1;8;1;m*8;1;s*8;;Mass Fraction of Cloud Ice in Air;;mass_fraction_of_cloud_ice_in_air;;atmos;
FI1000p;FI;zg1000;;;PressureLevel;0.101971621;;point;mean;mean;mean;100000;m;;4;i;1;4;1;m*4;1;s*4;;Geopotential Height;;geopotential_height;;atmos;
FI950p;FI;zg950;;;PressureLevel;0.101971621;;point;mean;mean;mean;95000;m;;4;i;1;4;1;m*4;1;s*4;;Geopotential Height;;geopotential_height;;atmos;
FI925p;FI;zg925;;;PressureLevel;0.101971621;;point;mean;mean;mean;92500;m;;4;i;1;4;1;m*4;1;s*4;;Geopotential Height;;geopotential_height;;atmos;
FI900p;FI;zg900;;;PressureLevel;0.101971621;;point;mean;mean;mean;90000;m;;4;i;1;4;1;m*4;1;s*4;;Geopotential Height;;geopotential_height;;atmos;
FI850p;FI;zg850;;;PressureLevel;0.101971621;;point;mean;mean;mean;85000;m;;4;i;1;4;1;m*4;1;s*4;;Geopotential Height;;geopotential_height;;atmos;
FI800p;FI;zg800;;;PressureLevel;0.101971621;;point;mean;mean;mean;80000;m;;4;i;1;4;1;m*4;1;s*4;;Geopotential Height;;geopotential_height;;atmos;
FI700p;FI;zg700;;;PressureLevel;0.101971621;;point;mean;mean;mean;70000;m;;4;i;1;4;1;m*4;1;s*4;;Geopotential Height;;geopotential_height;;atmos;
FI600p;FI;zg600;;;PressureLevel;0.101971621;;point;mean;mean;mean;60000;m;;4;i;1;4;1;m*4;1;s*4;;Geopotential Height;;geopotential_height;;atmos;
FI500p;FI;zg500;;;PressureLevel;0.101971621;;point;mean;mean;mean;50000;m;;4;i;1;4;1;m*4;1;s*4;;Geopotential Height;;geopotential_height;;atmos;
FI400p;FI;zg400;;;PressureLevel;0.101971621;;point;mean;mean;mean;40000;m;;4;i;1;4;1;m*4;1;s*4;;Geopotential Height;;geopotential_height;;atmos;
FI200p;FI;zg200;;;PressureLevel;0.101971621;;point;mean;mean;mean;20000;m;;4;i;1;4;1;m*4;1;s*4;;Geopotential Height;;geopotential_height;;atmos;
