WRF variable name;WRF variable name (in model output file);output variable name;to be derived from;Derotate (CORDEX);Level;Conversion factor 1);Cell Method (additional subdaily,CORDEX);Cell Method (subdaily,CORDEX);Cell Method (daily,CORDEX);Cell Method (monthly,CORDEX);Cell Method (seasonal,CORDEX);Levelvalue (height, plev);units;"Additional subdaily frq
[1/day]";"Subdaily frq
[1/day]";ag;"Daily frq
[1/day]";ag;"Monthly frq
[1/mon]";ag;"Seasonal frq
[1/sem]";ag;fx;long_name;comment;standard_name;direction of positive fluxes;"realm
(not required, however, if included should have the value as in CMIP5)";"cell-method: area
(optional)"
;;cll;;;ModelLevel;;;mean;mean;;;0;%;;4;a;1;;;;;;;Low Level Cloud Fraction;;cloud_area_fraction_in_atmosphere_layer;;atmos;
SNOWC;SNOWC;snc;;;ModelLevel;;;mean;mean;;;;%;;4;i;1;4;1;m*4;1;s*4;;Snow Area Fraction;;surface_snow_area_fraction;;landIce land;
SNOWH;SNOWH;snd;;;ModelLevel;;;point;mean;mean;mean;0;m;;4;i;1;4;1;m*4;1;s*4;;Snow Depth;;surface_snow_thickness;;landIce land;
SEAICE;SEAICE;sic;;;;;;point;mean;mean;mean;;%;;;;1;;1;m;1;s;;Sea Ice Area Fraction;;sea_ice_area_fraction;;seaIce ocean;
SNOWNC;SNOWNC;prsn;;;;;;;;;;;kg m-2 s-1;;;;1;;;;;;;Snowfall Flux;;snowfall_flux;;atmos;
;;areacella;;;;;;;mean;;;;m2;;;;;;;;;;0;Atmosphere Grid-Cell Area;;cell_area;;atmos land;
HGT;HGT;orog;;;;;;;;;;;m;;;;;;;;;;0;Surface Altitude;;surface_altitude;;atmos;
LANDMASK;LANDMASK;sftlf;;;;;;;;;;;%;;;;;;;;;;0;Land Area Fraction;;land_area_fraction;;atmos;
;;sftgif;;;;;;;;;;;%;;;;;;;;;;0;Fraction of Grid Cell Covered with Glacier;;land_ice_area_fraction;;land;
;;mrsofc;;;;;;;;;;;kg m-2;;;;;;;;;;0;Capacity of Soil to Store Water;;soil_moisture_content_at_field_capacity;;land ;
;;rootd;;;;;;;;;;;m;;;;;;;;;;0;Maximum Root Depth;;root_depth;;land ;
;;cape;;;;;;;;;;0;J kg-1;;;;;;;;;;;Convective Available Potential Energy;;atmosphere_convective_available_potential_energy;;;
